Mode,Lambda,Norm,IoU (%),MAPE (%),Samples
square,2.0,image-norm,71.27027510060626,19.63126098825531,677308
square,4.0,none,71.26126245467744,23.1946930645076,677308
linear,3.0,none,70.88758563990423,20.073320214886266,677308
square,5.0,none,70.6465830644474,23.95009286541444,677308
linear,4.0,none,69.65994978051152,21.26095322612953,677308
linear,5.0,none,68.73676212701437,22.182890112690306,677308
square,3.0,image-norm,68.4911118747217,21.359766442106388,677308
square,2.0,z-score,67.88013492357649,22.686849228240472,677308
sqrt,1.0,none,67.25911800189982,22.102904174128287,677308
square,4.0,image-norm,66.09496041248325,22.85851932893173,677308
linear,2.0,image-norm,65.79129822468104,21.347148955286464,677308
square,5.0,image-norm,63.95730334246505,24.213327654485912,677308
square,3.0,z-score,63.88083742235735,25.56105017006797,677308
sqrt,1.0,image-norm,63.28168791256742,23.19512924204038,677308
sqrt,2.0,none,62.90794393132737,26.216290721218137,677308
linear,2.0,z-score,62.111640608848596,23.94340790853683,677308
sqrt,1.0,z-score,60.86348430979079,24.50165073894455,677308
sqrt,3.0,none,60.59925408613312,28.622390435998433,677308
square,4.0,z-score,60.55745660628566,27.97372650231568,677308
linear,3.0,image-norm,60.15679440035557,25.350517217715595,677308
sqrt,4.0,none,59.0984628484382,30.290010062261047,677308
sqrt,5.0,none,58.020387997385946,31.545949956192075,677308
square,5.0,z-score,57.70011947545029,30.067886927152678,677308
linear,4.0,image-norm,55.51055729211901,28.798171063173367,677308
linear,3.0,z-score,55.066544976495926,29.32290047764143,677308
log,1.0,none,53.70776229757147,39.36354729991438,677308
sqrt,2.0,image-norm,52.02825197926347,31.86144766011899,677308
linear,5.0,image-norm,51.56369112045112,31.83800945257525,677308
log,1.0,image-norm,50.877153896406135,33.35533283696685,677308
linear,4.0,z-score,49.52772689817052,33.809802754878724,677308
log,2.0,none,48.85532968121371,47.61718317363309,677308
log,1.0,z-score,47.53117690825324,35.1605028605912,677308
sqrt,2.0,z-score,46.92161224970348,35.57101305152642,677308
log,3.0,none,46.5046336933934,52.42233354807587,677308
log,4.0,none,45.048888624535536,55.78410499297567,677308
linear,5.0,z-score,45.0260976994887,37.63298545955607,677308
sqrt,3.0,image-norm,44.1808400630553,38.441805076217264,677308
log,5.0,none,44.03521448600629,58.350911242208824,677308
log,2.0,image-norm,38.56876957334368,44.067446077864204,677308
sqrt,4.0,image-norm,38.256502994140426,43.76625805762122,677308
sqrt,3.0,z-score,37.91612418405897,43.610072946495805,677308
sqrt,5.0,image-norm,33.59422418566568,48.21275563101108,677308
log,2.0,z-score,33.04723711840538,48.418368610577375,677308
sqrt,4.0,z-score,31.566445219130923,49.79812302148218,677308
log,3.0,image-norm,31.03183490481355,51.32678910289555,677308
sqrt,5.0,z-score,26.834593341397234,54.7482678153708,677308
log,4.0,image-norm,25.818886272212755,56.74945180267117,677308
log,3.0,z-score,25.04679539572667,56.75170936322996,677308
log,5.0,image-norm,21.977253432654358,61.001274894274985,677308
log,4.0,z-score,19.92496567650388,62.59226398450901,677308
log,5.0,z-score,16.368351701594378,66.95067598241268,677308
